Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,salary,benefits_401k,stocks,date_posted,Unnamed: 0
"Director, Quant Development",Fidelity Investments,San Francisco,JobzMall,Full-time,Not mentioned,Not mentioned,0,180K–250K a year,Not mentioned,provided,1 month ago,
Quantitative Developer,Point72,San Francisco,LinkedIn,Full-time,provided,Not mentioned,0,"['$150000', '$250000']",Not mentioned,provided,16 days ago,
Associate Quantitative Analytics & Forecasting Director,Exelixis,Oakland,Learn4Good,Full-time,Not mentioned,Not mentioned,"[7, 5]",151K–214K a year,Not mentioned,provided,3 days ago,
Senior Quantitative Analytics Associate,JPMorgan Chase & Co.,California • via Recruit.net,Recruit.net,Full-time,provided,provided,0,,provided,provided,3 days ago,
"Director, Quant Research Platform Engineering (PL)",Jobs via eFinancialCareers,San Francisco,LinkedIn,Contractor,provided,provided,"[8, 5, 5]",,provided,provided,23 days ago,
Crypto investment analyst jobs,Google,Mountain View,Coyodywoodcraft.com,Full-time,Not mentioned,Not mentioned,0,40 an hour,provided,provided,4 days ago,
Book Portfolio Manager,WorldQuant,San Francisco,LinkedIn,Full-time,provided,provided,[2],"['$150000', '$200000']",provided,Not mentioned,20 days ago,
"Analysis & Modeling Risk Analyst, Expert",PG&E Corporation,Auburn,Glassdoor,Full-time,Not mentioned,Not mentioned,0,116K–194K a year,provided,Not mentioned,27 days ago,
Financial Analyst,NuFarm,West Sacramento,Indeed,Full-time,Not mentioned,Not mentioned,0,70K–110K a year,provided,Not mentioned,1 month ago,
Quantitative Research Analyst,Charles Schwab,San Francisco,BrokerHunter,Full-time,provided,provided,"[2, 5]",,provided,provided,16 days ago,
"Associate, Quantitative Researcher",BlackRock,San Francisco,JobzMall,Full-time,Not mentioned,Not mentioned,0,150K–250K a year,provided,provided,1 month ago,
Quantitative Researcher,"US Tech Solutions, Inc.",San Francisco,ZipRecruiter,Full-time,Not mentioned,Not mentioned,[3],,Not mentioned,Not mentioned,1 month ago,
"Staff Quantitative Product Researcher, Shopping",Pinterest,Anywhere • via Indeed,Indeed,Full-time,Not mentioned,Not mentioned,[5],"135,150–278,000 a year",provided,provided,1 month ago,
"Director, Quant Research Platform Engineering (PL)",Jobs via eFinancialCareers,San Francisco,LinkedIn,Full-time,provided,provided,"[8, 5, 5]",,provided,provided,23 days ago,
Quantitative Researcher (Data Scientist),Sud Recruiting,United States • via LinkedIn,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,provided,provided,1 day ago,
ML Quantitative Researcher,Algo Capital Group,United States • via LinkedIn,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,14 days ago,
Senior Quantitative Researcher - Brand & Reputation,Netflix,Los Angeles,JobzMall,Full-time,Not mentioned,Not mentioned,0,116K–165K a year,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher - 2025 PhD Intern (Europe),Citadel,United States • via Citadel,Citadel,Internship,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,10 days ago,
Senior Quantitative Researcher - Futures,Algo Capital Group,United States • via LinkedIn,LinkedIn,Full-time,Not mentioned,Not mentioned,0,"['$450', '$750']",Not mentioned,Not mentioned,14 days ago,
"Associate, Quantitative Researcher",BlackRock,Los Angeles,JobzMall,Full-time,Not mentioned,Not mentioned,0,98K–125K a year,Not mentioned,Not mentioned,1 month ago,
Lead Quantitative Researcher - Options,Algo Capital Group,United States • via LinkedIn,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher (Open/Close Auctions Strategy),Stabile Search,United States • via LinkedIn,LinkedIn,Full-time,provided,provided,0,"['$500000', '$800000']",Not mentioned,Not mentioned,1 day ago,
Quantitative Researcher with QResearch Software Expertise,Upwork,Anywhere • via Upwork,Upwork,Contractor,Not mentioned,Not mentioned,0,15–40 an hour,Not mentioned,Not mentioned,5 days ago,
Quant Researcher; Systematic Equities,Selby Jennings,Austin,Selby Jennings,Full-time,provided,provided,[2],,Not mentioned,Not mentioned,3 days ago,
Quantitative Research - Global Clearing - Associate,JPMorganChase,United States • via Glassdoor,Glassdoor,Full-time,provided,provided,0,95K–125K a year,Not mentioned,Not mentioned,11 days ago,
Quantitative Researcher,WorldQuant,New Orleans,Greenhouse,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,provided,1 month ago,
Quantitative Researcher - Chicago based Hedge Fund,"J Harlan Group, LLC",Chicago,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,provided,12 days ago,
Systematic Credit Quantitative Researcher,GQR,New York,GQR,Full-time,provided,Not mentioned,[3],"['$200000', '$270000']",Not mentioned,provided,1 month ago,
Quantitative Research Analyst,Capital Group Companies,London,Glassdoor,Full-time,provided,Not mentioned,[10],,provided,provided,9 days ago,
"Quantitative Research Analyst - Jersey City, NJ",Stevens Capital Management LP,Jersey City,ZipRecruiter,Full-time,provided,provided,0,"['$150000', '$300000']",provided,provided,1 month ago,
MLRC Quantitative Research Director,University of Wisconsin-Madison,Madison,Chronicle Of Higher Education,Full-time,Not mentioned,Not mentioned,0,['$100000'],provided,provided,1 month ago,
Quantitative Research Credit,Selby Jennings,New York,Selby Jennings,Full-time,Not mentioned,Not mentioned,[5],,Not mentioned,provided,9 days ago,
Quantitative Researcher (Power),Comity,New York,ClimateTechList,Full-time,Not mentioned,Not mentioned,[3],"['$140', '$180']",Not mentioned,Not mentioned,1 day ago,
Quant Researcher/Trader,Radley James,United States • via LinkedIn,LinkedIn,Full-time,Not mentioned,Not mentioned,0,350K–950K a year,Not mentioned,Not mentioned,5 days ago,
Systematic Quant Research Analyst,PIMCO,Newport Beach,Indeed,Full-time,Not mentioned,Not mentioned,"[2, 3]",165K–225K a year,provided,provided,1 month ago,
Sr. Quantitative Survey Researcher,Gartner,United States • via Adzuna,Adzuna,Full-time,provided,Not mentioned,0,['$7200'],provided,provided,29 days ago,
Quantitative Research Intern â€“ PhD Hire,"Susquehanna International Group, LLP, Quantitative Research",Bala Cynwyd,Academic Jobs Online,Full-time,Not mentioned,Not mentioned,0,,provided,provided,4 days ago,
Quantitative Researcher,EXCH The NASDAQ Stock Market LLC,Atlanta,ZipRecruiter,Full-time,provided,provided,0,['$10'],provided,provided,1 month ago,
"Analyst, Global Quantitative Research",Intercontinental Exchange,Atlanta,Diversity Jobs,Full-time,Not mentioned,Not mentioned,0,,provided,provided,6 days ago,
Quantitative Research Analyst Internship,Stevens Capital Management,Villanova,Simplify Jobs,Internship,Not mentioned,Not mentioned,0,,provided,Not mentioned,1 month ago,
"Quantitative Researcher, Intern",Aquatic Capital Management,London Mills,Adzuna,"Full-time, Contractor, and Internship",provided,provided,0,,provided,Not mentioned,1 month ago,
Quantitative Researcher,Goliath Partners,Chicago,Goliath Partners,Full-time,provided,Not mentioned,[3],"['$650', '$3']",provided,Not mentioned,1 month ago,
Senior Quantitative Researcher,Valkyrie Trading,Chicago,ZipRecruiter,Full-time,provided,provided,[3],,Not mentioned,provided,1 month ago,
Senior Quantitative Researcher (Remote),Panasonic North America,Anywhere • via LinkedIn,LinkedIn,Full-time,provided,Not mentioned,"[5, 5]","['$130000', '$150000']",Not mentioned,provided,10 days ago,
Quantitative Sports Researcher – Graduate Hire,"Susquehanna International Group, LLP (SIG)",Bala Cynwyd,Susquehanna International Group,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,provided,1 day ago,
Quantitative Researcher - Summer 2025 Internship (USA),Trexquant Investment,Stamford,Jooble,Full-time and Internship,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher,DRW,Chicago,Greenhouse,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher (Mid-Frequency),Selby Jennings,New York,Selby Jennings,Full-time,Not mentioned,Not mentioned,[2],,Not mentioned,provided,29 days ago,
Quant Research Associate Intern,MFS Investment Management,Boston,International Association Of Women (IAW),Contractor,Not mentioned,Not mentioned,0,,Not mentioned,provided,1 month ago,
"Associate, Quantitative Researcher",BlackRock,Philadelphia,JobzMall,Full-time,Not mentioned,Not mentioned,0,90K–155K a year,Not mentioned,provided,1 month ago,
Sr. Quantitative Researcher,Selby Jennings,New York • via Jooble,Jooble,Full-time,Not mentioned,Not mentioned,[2],,Not mentioned,provided,1 month ago,
"Senior Quantitative Researcher, Equities",Quest Partners LLC,New York,ZipRecruiter,Full-time,provided,Not mentioned,0,"['$200000', '$260000']",Not mentioned,provided,1 month ago,
Summer 2025 Quantitative Research Internship,Bracebridge Capital,Boston,Indeed,Internship,Not mentioned,Not mentioned,0,,provided,provided,26 days ago,
Equity Options Quantitative Researcher,Two Sigma,New York,LinkedIn,Full-time,provided,provided,[3],"['$165000', '$325000']",provided,provided,7 days ago,
Senior Quantitative Researcher Equities,Stevens Capital Management LP,Wayne,Greenhouse,Full-time,provided,provided,[5],"['$150000', '$300000']",provided,provided,1 month ago,
"Analyst, Capital Markets Research",Morningstar,Chicago,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,provided,provided,5 days ago,
Quantitative Risk Analyst,Quanta Search,New York,CATS,Full-time,Not mentioned,Not mentioned,[5],,Not mentioned,provided,1 month ago,
Quantitative Research Analyst,J.P. Morgan Chase & Co.,Plano,JobzMall,Full-time,Not mentioned,Not mentioned,0,65K–120K a year,Not mentioned,provided,1 month ago,
Quantitative Researcher - Leading Global Hedge Fund - Up to $300k base comp + bonus,Mondrian Alpha,New York,LinkedIn,Full-time,Not mentioned,Not mentioned,0,['$300'],provided,provided,12 days ago,
Medical Researcher,Old Mission,Schiller Park,Jooble,Full-time,provided,provided,[5],,provided,provided,2 days ago,
Commodities Quantitative Researcher,Huxley,New York,LinkedIn,Full-time,Not mentioned,Not mentioned,0,£200K–£500K a year,provided,provided,5 days ago,
Quantitative Research Analyst,Tower Research,Charleston,Karkidi,Full-time,provided,Not mentioned,"[0, 3]",120K–200K a year,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher | Experienced Hire,"Susquehanna International Group, LLP (SIG)",Bala Cynwyd,Susquehanna International Group,Full-time,Not mentioned,Not mentioned,0,,provided,Not mentioned,9 days ago,
Quantitative UX Researcher,Baylor Scott & White Health,Jackson,Baylor Scott & White Health Jobs,Full-time,provided,Not mentioned,[4],,provided,Not mentioned,23 days ago,
Quantitative Research Intern: Emerging Markets,Credit Agricole CIB,New York,Jooble,Internship,Not mentioned,Not mentioned,0,,provided,provided,29 days ago,
"Analyst, Quantitative Research, Equities - Asset Management",Principal Financial Group,Seattle,LinkedIn,Full-time,Not mentioned,Not mentioned,[3],"['$86450', '$147600']",Not mentioned,provided,4 days ago,
Quantitative Researcher Intern,Xantium,New York,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,"['$10000', '$15000']",Not mentioned,provided,1 month ago,
Quantitative Researcher,DRW,Chicago,Built In Chicago,Full-time,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,
Sr. Quantitative Survey Researcher,Gartner Careers,Irving,Gartner,Full-time,provided,Not mentioned,0,['$7200'],provided,provided,18 days ago,
Quantitative Researcher,Vanguard,Scottsdale,JobzMall,Full-time,Not mentioned,Not mentioned,0,85K–150K a year,provided,provided,1 month ago,
Research Analyst,Societe Generale,New York,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher and Developer,Open Systems Technologies,New York,Open Systems Technologies,Full-time,Not mentioned,Not mentioned,"[1, 3]","['$200', '$280']",Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher,MSCI Inc.,Norman,LinkedIn,Full-time,provided,Not mentioned,0,,Not mentioned,Not mentioned,5 days ago,
Quantitative Research - Global Clearing - Associate,JPMorgan Chase & Co,New York,ZipRecruiter,Full-time,provided,provided,0,,Not mentioned,Not mentioned,1 day ago,
"Associate, Quantitative Researcher, Credit Systematic Market Making",The Goldman Sachs Group,New York,JobzMall,Full-time,Not mentioned,Not mentioned,0,90K–150K a year,Not mentioned,Not mentioned,1 month ago,
Global Quantitative Strategies | Quantitative Research Engineer,Citadel,Chicago,Citadel,Full-time,provided,Not mentioned,0,"['$200000', '$225000']",Not mentioned,Not mentioned,3 days ago,
Quantitative Sports Researcher,"Susquehanna International Group, LLP",Bala Cynwyd,Careers,Full-time,Not mentioned,Not mentioned,0,,provided,Not mentioned,1 month ago,
Quantitative UX Researcher,Baylor Scott & White Health,Montpelier,Baylor Scott & White Health Jobs,Full-time,provided,Not mentioned,[4],,provided,Not mentioned,23 days ago,
Quantitative Analyst - CIO Office,Point72,New York,LinkedIn,Full-time,provided,Not mentioned,0,"['$175000', '$300000']",provided,Not mentioned,1 month ago,
Quantitative Research Analyst Internship,SCM,Radnor,ZipRecruiter,Internship,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher – 2025 PhD Graduate,Citadel Securities,Miami,Indeed,Full-time,provided,Not mentioned,0,225K–300K a year,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher - Early Career (USA),Trexquant Investment LP,Stamford,LinkedIn,Full-time,provided,provided,0,,provided,Not mentioned,1 month ago,
"Senior Quantitative Researcher Futures - Jersey City, NJ",Stevens Capital Management LP,Jersey City,ZipRecruiter,Full-time,provided,provided,[5],"['$150000', '$300000']",provided,Not mentioned,1 month ago,
"Associate, Quantitative Researcher",BlackRock,Boston,JobzMall,Full-time,Not mentioned,Not mentioned,0,113K–150K a year,provided,Not mentioned,1 month ago,
Sr. Quant Researcher - *Intraday Launch*,Non-Disclosed,New York,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,provided,1 day ago,
Quantitative Research - Global Clearing - Vice President,JPMorgan Chase & Co,New York,ZipRecruiter,Full-time,provided,provided,0,,Not mentioned,provided,5 days ago,
Quantitative Research - Options Electronic Trading,Chase Bank,Seattle,JobzMall,Full-time,Not mentioned,Not mentioned,0,150K–300K a year,provided,provided,1 month ago,
Quantitative Researcher,Nasdaq,Philadelphia,ZipRecruiter,Full-time,provided,provided,0,['$10'],provided,provided,1 month ago,
Quant Researcher,Candidate Portal,New York,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,['$200'],provided,provided,1 month ago,
Senior Quantitative Researcher - Systematic Credit,Algo Capital Group,Chicago,LinkedIn,Full-time,Not mentioned,Not mentioned,0,"['$350', '$650']",Not mentioned,provided,14 days ago,
Quantitative Analyst,American Century Investments,Santa Clara,LinkedIn,Full-time,Not mentioned,Not mentioned,0,"['$135', '$165']",provided,provided,3 days ago,
Quantitative Research Analyst,Charles Schwab,San Francisco,BrokerHunter,Full-time,provided,provided,"[2, 5]",,provided,provided,16 days ago,
Quantitative Researcher,MSCI Inc.,Berkeley,Glassdoor,Full-time,provided,Not mentioned,0,149K–194K a year,provided,provided,5 days ago,
Quantitative Researcher,American Century Investments,Santa Clara,LinkedIn,Full-time,Not mentioned,Not mentioned,0,"['$149000', '$162000']",Not mentioned,provided,10 days ago,
Quantitative Researcher,MSCI Inc.,Berkeley,Indeed,Full-time,provided,Not mentioned,"[2, 5]",149K–194K a year,Not mentioned,provided,5 days ago,
Quantitative Research Associate,Stanford University,Stanford,Inside Higher Ed Careers,Full-time,provided,Not mentioned,[2],['$800'],Not mentioned,Not mentioned,1 month ago,
"Associate, Quantitative Researcher",BlackRock,Palo Alto,JobzMall,Full-time,Not mentioned,Not mentioned,0,120K–160K a year,provided,provided,1 month ago,
Associate Quantitative Analytics and Forecasting Director,Exelixis,Alameda,LinkedIn,Full-time,provided,provided,"[7, 5]","['$171000', '$243000']",provided,provided,2 days ago,
"Lead Product Researcher, Quantitative",Snap Inc.,Palo Alto,Built In San Francisco,Full-time,provided,Not mentioned,[6],143K–252K a year,provided,provided,2 days ago,
Quantitative Analyst (Staff / Sr Staff) - Power Markets,Equilibrium Energy,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,provided,provided,"[6, 4]",,provided,provided,1 month ago,
Policy Analyst: Quantitative,Stanford University,Stanford,ZipRecruiter,Full-time,provided,Not mentioned,[2],"['$76000', '$95000']",provided,provided,1 month ago,
Quantitative Researcher,MSCI,Berkeley,Msci,Full-time,provided,Not mentioned,0,"['$144000', '$187000']",provided,Not mentioned,21 days ago,
Quantitative Analyst,AVA ROAD,San Francisco,Indeed,Full-time,provided,provided,0,,provided,Not mentioned,1 month ago,
Quantitative UX Research Manager,Meta,Menlo Park,Meta Careers,Full-time,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,
"Quantitative Marketing Analyst, Google, Search Marketing",Google,Mountain View,LinkedIn,Full-time,provided,Not mentioned,0,"['$87000', '$128000']",Not mentioned,provided,10 days ago,
Quantitative Researcher,Tanius Technology,Alamo,Adzuna,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,provided,1 month ago,
"Associate, Quantitative Researcher",BlackRock,San Francisco,JobzMall,Full-time,Not mentioned,Not mentioned,0,150K–250K a year,Not mentioned,Not mentioned,1 month ago,
Quantitative Researcher,"US Tech Solutions, Inc.",San Francisco,ZipRecruiter,Full-time,Not mentioned,Not mentioned,[3],,Not mentioned,Not mentioned,1 month ago,
Quant Analyst,"Software Guidance & Assistance, Inc. (SGA, Inc.)",San Jose,LinkedIn,Full-time,Not mentioned,Not mentioned,[3],50–57 an hour,Not mentioned,Not mentioned,23 days ago,
Quantitative Trader,Protogon Research,Menlo Park,Glassdoor,Full-time,provided,provided,0,,Not mentioned,provided,5 days ago,
Lead Quantitative Product Researcher,Snap Inc.,Palo Alto,Get.It,Full-time,provided,Not mentioned,"[6, 6]",,provided,provided,12 days ago,
Senior Quantitative Developer - BQuant Research Platform,Bloomberg L.P.,San Francisco,Dice.com,Full-time,provided,provided,[4],240K a year,provided,provided,1 month ago,
"Staff Quantitative Product Researcher, Shopping",Pinterest,Anywhere • via Indeed,Indeed,Full-time,Not mentioned,Not mentioned,[5],"135,150–278,000 a year",provided,Not mentioned,1 month ago,
"Analyst, Quantitative Data Operations",Fidelity Investments,San Francisco,JobzMall,Full-time,Not mentioned,Not mentioned,0,85K–125K a year,provided,provided,1 month ago,
Lead Quantitative Risk Analyst,Earnest,Anywhere • via LinkedIn,LinkedIn,Full-time,provided,provided,"[2, 3, 4, 6]","['$191000', '$216000']",provided,provided,16 days ago,
data engineer - snowflake,InvestM Technology LLC,San Francisco,HiCounselor,Full-time,Not mentioned,Not mentioned,"[10, 4]",,provided,provided,9 days ago,
"Lead Product Researcher, Quantitative",Snap Inc.,San Francisco,LinkedIn,Full-time,provided,Not mentioned,[6],"['$168000', '$252000']",Not mentioned,Not mentioned,18 days ago,
Quantitative Researcher,US Tech Solutions,San Francisco,Jooble,Full-time,Not mentioned,Not mentioned,[3],,Not mentioned,Not mentioned,7 days ago,
Senior Quantitative Developer - BQuant Research Platform,Bloomberg,San Francisco,Indeed,Full-time,Not mentioned,Not mentioned,[4],,Not mentioned,provided,1 month ago,
Sr. Staff Quantitative Product Researcher,Pinterest,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,Not mentioned,Not mentioned,[7],"['$158950', '$327000']",Not mentioned,provided,10 days ago,
Lead Quantitative Product Researcher,Snap Inc.,San Francisco,Get.It,Full-time,provided,Not mentioned,"[6, 6]",,provided,provided,12 days ago,
"Senior Quantitative Researcher at Russell Tobin Menlo Park, CA",Russell Tobin,Menlo Park,Pocahontas County Assessor's Office,Full-time,provided,provided,[5],"['$80', '$92']",provided,provided,2 days ago,
Lead Quantitative Analyst,Unreal Gigs,San Francisco,Jooble,Full-time,provided,provided,[8],"['$170000', '$230000']",provided,provided,4 days ago,
"Director, Quant Research Platform Engineering (PL)",Jobs via eFinancialCareers,San Francisco,LinkedIn,Full-time,provided,provided,"[8, 5, 5]",,provided,provided,23 days ago,
Quantitative Researcher / Modeler,Moody’s Corporation,San Francisco,Karkidi,Full-time,Not mentioned,Not mentioned,0,120K–190K a year,provided,provided,1 month ago,
Graduate Quantitative Researcher,Optiver Us LLC,August,Zippia,Full-time,provided,Not mentioned,[3],,Not mentioned,Not mentioned,18 days ago,
Senior Quantitative User Researcher,Mozilla Corporation,Anywhere • via Karkidi,Karkidi,Full-time,Not mentioned,Not mentioned,0,126K–246K a year,Not mentioned,provided,1 month ago,
"Robinhood - Quantitative User Research Intern (2025), application via RippleMatch",RippleMatch Opportunities,Menlo Park,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,provided,provided,15 days ago,
Book Portfolio Manager,WorldQuant,San Francisco,LinkedIn,Full-time,provided,provided,[2],"['$150000', '$200000']",provided,provided,20 days ago,
Quantitative Researcher,Aresfi,Incline Village,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,provided,Not mentioned,1 month ago,
User Research Data Analyst,Tik Tok,Mountain View,JobzMall,Full-time,Not mentioned,Not mentioned,0,87K–122K a year,provided,Not mentioned,1 month ago,
Quantitative UX Researcher,Baylor Scott & White Health,Carson City,Baylor Scott & White Health Jobs,Full-time,provided,Not mentioned,[4],,provided,Not mentioned,23 days ago,
Business Intelligence Analyst,Apple,Cupertino,Careers At Apple,Full-time,provided,provided,"[3, 1]","['$180128', '$201300']",Not mentioned,provided,24 days ago,
"Business Intelligence/Data Analyst, Customer Success",Block,San Francisco,LinkedIn,Full-time,Not mentioned,Not mentioned,[3],"['$111700', '$167500']",Not mentioned,provided,2 days ago,
Business Intelligence Analyst,InterSources,Fremont,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,provided,1 month ago,
Finance Business Intelligence Analyst,NVIDIA,Santa Clara,LinkedIn,Full-time,provided,Not mentioned,[8],,Not mentioned,provided,5 days ago,
Business Intelligence Analyst,AC Transit,Oakland,LinkedIn,Full-time,provided,provided,0,,Not mentioned,provided,6 days ago,
Business Intelligence Senior Analyst,City National Bank,San Francisco,City National Bank,Full-time,Not mentioned,Not mentioned,"[5, 5, 6]","['$92114', '$156880']",Not mentioned,Not mentioned,1 month ago,
